OrderID,OrderDate,CustomerID,ProductName,Category,Quantity,UnitPrice,Revenue,Region,MarketingChannel,PaymentMethod
1,2025-10-16,1057,Wireless Headphones,Electronics,3,137.55,412.65,Europe,Google Ads,Credit Card
2,2025-08-27,1216,Wireless Headphones,Electronics,1,64.97,64.97,Europe,Referral,Credit Card
3,2025-07-28,1101,Office Chair,Furniture,4,125.81,503.24,Australia,Email,Credit Card
4,2024-06-12,1357,Water Bottle,Sports,3,153.38,460.14,Europe,Email,Credit Card
5,2024-04-04,1194,Smart Watch,Electronics,3,426.8,1280.4,Australia,Email,Credit Card
6,2025-04-15,1274,Smart Watch,Electronics,4,57.82,231.28,Asia,Referral,Apple Pay
7,2025-08-14,1098,Smart Watch,Electronics,1,337.41,337.41,Asia,Google Ads,PayPal
8,2024-04-13,1194,Laptop Backpack,Accessories,4,325.13,1300.52,Asia,Meta Ads,Apple Pay
9,2024-12-29,1107,Laptop Backpack,Accessories,1,312.38,312.38,Europe,Referral,PayPal
10,2024-06-16,1236,Water Bottle,Sports,3,494.97,1484.91,Australia,Meta Ads,Apple Pay
11,2024-02-27,1117,Wireless Headphones,Electronics,3,212.56,637.68,North America,Meta Ads,Apple Pay
12,2024-08-05,1335,Denim Jacket,Fashion,4,444.65,1778.6,Africa,Meta Ads,Apple Pay
13,2024-05-22,1126,Office Chair,Furniture,5,146.12,730.6,Australia,Organic Search,Bank Transfer
14,2025-01-05,1112,Running Shoes,Fashion,5,256.89,1284.45,North America,Google Ads,PayPal
15,2025-10-04,1081,Water Bottle,Sports,5,50.49,252.45,Africa,Referral,Bank Transfer
16,2025-06-25,1128,Office Chair,Furniture,1,346.54,346.54,North America,Referral,Apple Pay
17,2025-10-18,1174,Smart Watch,Electronics,3,228.69,686.07,Africa,Google Ads,Apple Pay
18,2025-05-27,1390,Running Shoes,Fashion,5,458.06,2290.3,Asia,Referral,PayPal
19,2024-06-05,1191,Running Shoes,Fashion,5,477.68,2388.4,Australia,Google Ads,Apple Pay
20,2025-05-15,1009,Smart Watch,Electronics,3,441.79,1325.37,Asia,Meta Ads,Credit Card
21,2024-09-03,1449,LED Desk Lamp,Furniture,1,61.11,61.11,Africa,Google Ads,PayPal
22,2024-05-11,1337,Denim Jacket,Fashion,5,99.26,496.3,Australia,Referral,Bank Transfer
23,2024-08-04,1475,Office Chair,Furniture,2,362.22,724.44,Africa,Email,Bank Transfer
24,2025-06-13,1231,Smart Watch,Electronics,2,127.85,255.7,Asia,Google Ads,PayPal
25,2025-08-25,1112,Wireless Headphones,Electronics,1,359.76,359.76,North America,Meta Ads,Credit Card
26,2024-02-02,1440,Bluetooth Speaker,Electronics,1,266.79,266.79,Asia,Organic Search,PayPal
27,2025-07-06,1067,LED Desk Lamp,Furniture,5,246.88,1234.4,Africa,Organic Search,PayPal
28,2024-04-06,1049,Water Bottle,Sports,3,223.32,669.96,Africa,Google Ads,Credit Card
29,2024-03-03,1206,Bluetooth Speaker,Electronics,1,139.36,139.36,Europe,Referral,Bank Transfer
30,2024-05-23,1216,Running Shoes,Fashion,3,242.06,726.18,North America,Organic Search,Credit Card
31,2024-02-21,1333,Office Chair,Furniture,1,485.12,485.12,Europe,Meta Ads,Bank Transfer
32,2025-05-12,1246,Yoga Mat,Sports,4,453.17,1812.68,Europe,Organic Search,Credit Card
33,2025-02-03,1135,Denim Jacket,Fashion,3,223.04,669.12,Australia,Organic Search,PayPal
34,2024-07-13,1151,Yoga Mat,Sports,1,298.01,298.01,Australia,Google Ads,Apple Pay
35,2024-02-28,1025,LED Desk Lamp,Furniture,4,261.37,1045.48,Australia,Meta Ads,Credit Card
36,2025-06-04,1041,Running Shoes,Fashion,1,305.62,305.62,Europe,Organic Search,Credit Card
37,2025-08-06,1126,LED Desk Lamp,Furniture,5,39.08,195.4,North America,Organic Search,Apple Pay
38,2024-09-24,1104,Bluetooth Speaker,Electronics,2,147.49,294.98,Europe,Email,Bank Transfer
39,2024-11-19,1475,Smart Watch,Electronics,1,239.98,239.98,Australia,Google Ads,Credit Card
40,2025-07-04,1109,Office Chair,Furniture,3,83.58,250.74,Asia,Google Ads,PayPal
41,2025-01-13,1145,Running Shoes,Fashion,4,420.2,1680.8,Asia,Referral,Credit Card
42,2025-11-14,1418,Office Chair,Furniture,3,467.24,1401.72,North America,Meta Ads,Apple Pay
43,2024-04-28,1455,Smart Watch,Electronics,5,94.61,473.05,Asia,Referral,PayPal
44,2024-12-17,1104,Laptop Backpack,Accessories,5,254.5,1272.5,North America,Google Ads,Bank Transfer
45,2024-10-10,1022,Wireless Headphones,Electronics,3,390.14,1170.42,Asia,Meta Ads,Bank Transfer
46,2025-07-18,1361,Water Bottle,Sports,5,24.64,123.2,North America,Meta Ads,Credit Card
47,2025-01-13,1298,Office Chair,Furniture,2,226.3,452.6,North America,Email,Apple Pay
48,2024-02-10,1460,Bluetooth Speaker,Electronics,2,347.39,694.78,North America,Email,Bank Transfer
49,2025-09-27,1383,Running Shoes,Fashion,2,435.01,870.02,Europe,Organic Search,Credit Card
50,2024-07-02,1377,Bluetooth Speaker,Electronics,4,405.07,1620.28,Europe,Email,PayPal
51,2025-12-19,1055,Water Bottle,Sports,1,432.12,432.12,Europe,Meta Ads,Bank Transfer
52,2024-12-24,1156,Yoga Mat,Sports,2,31.36,62.72,Europe,Organic Search,Apple Pay
53,2024-10-12,1442,Smart Watch,Electronics,3,188.55,565.65,Australia,Organic Search,Apple Pay
54,2024-01-29,1059,Laptop Backpack,Accessories,2,298.68,597.36,Asia,Google Ads,Credit Card
55,2025-09-02,1222,Bluetooth Speaker,Electronics,3,229.47,688.41,Australia,Google Ads,Bank Transfer
56,2025-08-13,1097,Laptop Backpack,Accessories,1,360.22,360.22,North America,Referral,PayPal
57,2025-01-07,1220,Smart Watch,Electronics,3,319.11,957.33,North America,Email,Apple Pay
58,2025-11-13,1209,Bluetooth Speaker,Electronics,4,354.66,1418.64,Australia,Meta Ads,PayPal
59,2025-03-06,1340,Water Bottle,Sports,2,315.45,630.9,Asia,Organic Search,Credit Card
60,2024-11-07,1146,Yoga Mat,Sports,4,397.16,1588.64,Australia,Email,Bank Transfer
61,2025-03-28,1226,Yoga Mat,Sports,5,247.13,1235.65,Europe,Google Ads,Apple Pay
62,2025-06-11,1339,LED Desk Lamp,Furniture,3,64.83,194.49,Europe,Email,PayPal
63,2024-07-22,1075,Wireless Headphones,Electronics,1,137.52,137.52,Africa,Referral,Credit Card
64,2025-04-11,1212,LED Desk Lamp,Furniture,2,364.81,729.62,Africa,Organic Search,Bank Transfer
65,2024-09-06,1075,Wireless Headphones,Electronics,1,393.64,393.64,Europe,Meta Ads,Bank Transfer
66,2024-02-21,1285,Yoga Mat,Sports,1,239.1,239.1,Africa,Referral,Apple Pay
67,2025-03-29,1313,Office Chair,Furniture,4,418.67,1674.68,Australia,Organic Search,PayPal
68,2025-05-01,1230,Laptop Backpack,Accessories,2,423.13,846.26,Asia,Referral,Bank Transfer
69,2025-10-03,1122,Laptop Backpack,Accessories,4,57.19,228.76,Asia,Meta Ads,Apple Pay
70,2024-12-09,1163,Office Chair,Furniture,1,86.42,86.42,Europe,Organic Search,PayPal
71,2025-12-24,1109,Smart Watch,Electronics,4,215.65,862.6,Australia,Organic Search,Bank Transfer
72,2024-03-04,1105,Water Bottle,Sports,4,454.32,1817.28,Australia,Google Ads,Bank Transfer
73,2025-05-03,1003,Bluetooth Speaker,Electronics,3,381.67,1145.01,Africa,Referral,PayPal
74,2025-05-14,1112,Laptop Backpack,Accessories,4,253.11,1012.44,Africa,Email,Bank Transfer
75,2024-06-18,1430,Denim Jacket,Fashion,2,490.75,981.5,Australia,Google Ads,Bank Transfer
76,2025-08-29,1288,Wireless Headphones,Electronics,1,328.52,328.52,Europe,Organic Search,PayPal
77,2024-02-21,1133,Water Bottle,Sports,3,121.6,364.8,Asia,Email,Bank Transfer
78,2024-10-11,1385,Water Bottle,Sports,3,420.76,1262.28,Africa,Google Ads,Credit Card
79,2024-12-24,1114,Smart Watch,Electronics,1,382.03,382.03,Europe,Meta Ads,Credit Card
